codigo_ibge,nome,uf,regiao_imediata,regiao_intermediaria,latitude,longitude,populacao_2026
2504801,Coremas,PB,Patos,Patos,-7.054520,-37.960960,14970
2504850,Coxixola,PB,Sumé,Campina Grande,-7.660556,-36.628900,1893
2504900,Cruz do Espírito Santo,PB,João Pessoa,João Pessoa,-7.154470,-35.110770,17918
2505006,Cubati,PB,Campina Grande,Campina Grande,-6.858978,-36.331711,7864
2505105,Cuité,PB,Cuité - Nova Floresta,Campina Grande,-6.533871,-36.064481,20210
2505204,Cuitegi,PB,Guarabira,João Pessoa,-6.900314,-35.533143,6887
2505238,Cuité de Mamanguape,PB,João Pessoa,João Pessoa,-6.910667,-35.254956,6450
2505279,Curral de Cima,PB,Mamanguape - Rio Tinto,João Pessoa,-6.728509,-35.284909,5423
2505303,Curral Velho,PB,Itaporanga,Patos,-7.518936,-38.166882,2304
2505352,Damião,PB,Cuité - Nova Floresta,Campina Grande,-6.653222,-35.923711,5151
2505402,Desterro,PB,Patos,Patos,-7.297156,-37.104733,8327
2505501,Vista Serrana,PB,Patos,Patos,-6.749375,-37.583388,3784
2505600,Diamante,PB,Itaporanga,Patos,-7.451244,-38.304019,6403
2505709,Dona Inês,PB,Guarabira,João Pessoa,-6.611221,-35.648364,10636
2505808,Duas Estradas,PB,Guarabira,João Pessoa,-6.723514,-35.396529,3344
2505907,Emas,PB,Patos,Patos,-7.091055,-37.769518,3020
2506004,Esperança,PB,Campina Grande,Campina Grande,-7.014660,-35.869340,32671
2506103,Fagundes,PB,Campina Grande,Campina Grande,-7.390022,-35.793467,11300
2506202,Frei Martinho,PB,Cuité - Nova Floresta,Campina Grande,-6.411265,-36.440729,2908
2506251,Gado Bravo,PB,Campina Grande,Campina Grande,-7.581913,-35.809847,8401
2506301,Guarabira,PB,Guarabira,João Pessoa,-6.874275,-35.465217,60265
2506400,Gurinhém,PB,João Pessoa,João Pessoa,-7.157753,-35.428653,14148
2506509,Gurjão,PB,Campina Grande,Campina Grande,-7.256686,-36.475857,3361
2506608,Ibiara,PB,Itaporanga,Patos,-7.511323,-38.392177,5693
2506707,Imaculada,PB,Patos,Patos,-7.373315,-37.541490,10447
2506806,Ingá,PB,Campina Grande,Campina Grande,-7.264672,-35.629456,18268
2506905,Itabaiana,PB,Itabaiana,João Pessoa,-7.347260,-35.358900,23498
2507002,Itaporanga,PB,Itaporanga,Patos,-7.305100,-38.194365,24842
2507101,Itapororoca,PB,Mamanguape - Rio Tinto,João Pessoa,-6.817430,-35.276120,19270
2507200,Itatuba,PB,Campina Grande,Campina Grande,-7.411525,-35.628533,10863
2507309,Jacaraú,PB,Mamanguape - Rio Tinto,João Pessoa,-6.603376,-35.275235,15013
2507408,Jericó,PB,Catolé do Rocha - São Bento,Patos,-6.526883,-37.807167,7734
2507507,João Pessoa,PB,João Pessoa,João Pessoa,-7.152687,-34.885693,906093
2507606,Juarez Távora,PB,João Pessoa,João Pessoa,-7.165878,-35.562078,8117
2507705,Juazeirinho,PB,Campina Grande,Campina Grande,-7.059618,-36.580506,17551
2507804,Junco do Seridó,PB,Campina Grande,Campina Grande,-6.973471,-36.742614,7035
2507903,Juripiranga,PB,João Pessoa,João Pessoa,-7.363900,-35.216830,10250
2508000,Juru,PB,Princesa Isabel,Patos,-7.517273,-37.797353,9352
2508109,Lagoa,PB,Pombal,Patos,-6.589957,-37.890221,4476
2508208,Lagoa de Dentro,PB,Guarabira,João Pessoa,-6.677256,-35.360744,8155
2508307,Lagoa Seca,PB,Campina Grande,Campina Grande,-7.153150,-35.865667,29356
2508406,Lastro,PB,Sousa,Sousa - Cajazeiras,-6.558100,-38.183873,3339
2508505,Livramento,PB,Sumé,Campina Grande,-7.347992,-36.904408,7038
2508554,Logradouro,PB,Guarabira,João Pessoa,-6.533114,-35.429500,5166
2508604,Lucena,PB,João Pessoa,João Pessoa,-6.921383,-34.904500,13153
2508703,Mãe d'Água,PB,Patos,Patos,-7.250800,-37.424871,3575
2508802,Malta,PB,Patos,Patos,-6.887543,-37.532357,6315
2508901,Mamanguape,PB,Mamanguape - Rio Tinto,João Pessoa,-6.713590,-35.149790,47200
2509008,Manaíra,PB,Princesa Isabel,Patos,-7.721367,-38.196289,10698
2509057,Marcação,PB,Mamanguape - Rio Tinto,João Pessoa,-6.746836,-34.997255,9634
2509107,Mari,PB,João Pessoa,João Pessoa,-7.029756,-35.311500,22212
2509156,Marizópolis,PB,Sousa,Sousa - Cajazeiras,-6.821086,-38.338686,7041
2509206,Massaranduba,PB,Campina Grande,Campina Grande,-7.198175,-35.755250,14842
2509305,Mataraca,PB,Mamanguape - Rio Tinto,João Pessoa,-6.560427,-35.053327,8711
2509339,Matinhas,PB,Campina Grande,Campina Grande,-7.114357,-35.772729,4781
2509370,Mato Grosso,PB,Catolé do Rocha - São Bento,Patos,-6.547650,-37.743825,2577
2509396,Maturéia,PB,Patos,Patos,-7.285489,-37.351867,6754
2509404,Mogeiro,PB,Itabaiana,João Pessoa,-7.305279,-35.485814,14492
2509503,Montadas,PB,Campina Grande,Campina Grande,-7.090883,-35.941717,6201
2509602,Monte Horebe,PB,Cajazeiras,Sousa - Cajazeiras,-7.208671,-38.526464,4422
2509701,Monteiro,PB,Monteiro,Campina Grande,-7.924158,-37.128029,34023
2509800,Mulungu,PB,Guarabira,João Pessoa,-6.991218,-35.408673,8875
2509909,Natuba,PB,Itabaiana,João Pessoa,-7.557821,-35.561843,8860
2510006,Nazarezinho,PB,Sousa,Sousa - Cajazeiras,-6.951771,-38.336186,7396
2510105,Nova Floresta,PB,Cuité - Nova Floresta,Campina Grande,-6.465020,-36.196220,9799
2510204,Nova Olinda,PB,Itaporanga,Patos,-7.485822,-38.015778,5884
2510303,Nova Palmeira,PB,Cuité - Nova Floresta,Campina Grande,-6.678157,-36.427993,4356
2510402,Olho d'Água,PB,Patos,Patos,-7.288074,-37.742326,6010
2510501,Olivedos,PB,Campina Grande,Campina Grande,-6.976450,-36.251717,3676
2510600,Ouro Velho,PB,Monteiro,Campina Grande,-7.598156,-37.128233,3003
2510659,Parari,PB,Sumé,Campina Grande,-7.326660,-36.671593,1739
2510709,Passagem,PB,Patos,Patos,-7.126300,-37.051200,2597
2510808,Patos,PB,Patos,Patos,-7.014633,-37.333592,108416
2510907,Paulista,PB,Pombal,Patos,-6.619533,-37.584893,12184
2511004,Pedra Branca,PB,Itaporanga,Patos,-7.467591,-38.084445,3856
2511103,Pedra Lavrada,PB,Cuité - Nova Floresta,Campina Grande,-6.771828,-36.400900,6963
2511202,Pedras de Fogo,PB,João Pessoa,João Pessoa,-7.354822,-35.076733,31549
2511301,Piancó,PB,Itaporanga,Patos,-7.195290,-37.958124,17166
2511400,Picuí,PB,Cuité - Nova Floresta,Campina Grande,-6.504657,-36.350000,18888
2511509,Pilar,PB,João Pessoa,João Pessoa,-7.267733,-35.266700,12972
2511608,Pilões,PB,Guarabira,João Pessoa,-6.888843,-35.596214,6970
2511707,Pilõezinhos,PB,Guarabira,João Pessoa,-6.847457,-35.541029,5562
2511806,Pirpirituba,PB,Guarabira,João Pessoa,-6.784010,-35.494430,9358
2511905,Pitimbu,PB,João Pessoa,João Pessoa,-7.456730,-34.838520,17168
2512002,Pocinhos,PB,Campina Grande,Campina Grande,-7.051650,-36.084991,18083
2512036,Poço Dantas,PB,Sousa,Sousa - Cajazeiras,-6.383954,-38.511215,3935
2512077,Poço de José de Moura,PB,Cajazeiras,Sousa - Cajazeiras,-6.569725,-38.500438,4132
2512101,Pombal,PB,Pombal,Patos,-6.800115,-37.883067,33933
2512200,Prata,PB,Monteiro,Campina Grande,-7.691633,-37.097392,4038
2512309,Princesa Isabel,PB,Princesa Isabel,Patos,-7.644805,-38.012343,21688
2512408,Puxinanã,PB,Campina Grande,Campina Grande,-7.155444,-35.952567,15041
2512507,Queimadas,PB,Campina Grande,Campina Grande,-7.401431,-35.903481,51156
2512606,Quixaba,PB,Patos,Patos,-7.043900,-37.128818,1807
2512705,Remígio,PB,Campina Grande,Campina Grande,-6.932954,-35.862877,18424
2512721,Pedro Régis,PB,Mamanguape - Rio Tinto,João Pessoa,-6.672211,-35.290389,5937
2512747,Riachão,PB,Guarabira,João Pessoa,-6.539090,-35.648660,2927
2512754,Riachão do Bacamarte,PB,Campina Grande,Campina Grande,-7.242071,-35.674957,4942
2512762,Riachão do Poço,PB,João Pessoa,João Pessoa,-7.158200,-35.291983,5030
2512788,Riacho de Santo Antônio,PB,Campina Grande,Campina Grande,-7.672833,-36.138900,2082
2512804,Riacho dos Cavalos,PB,Catolé do Rocha - São Bento,Patos,-6.493958,-37.622533,8813
2512903,Rio Tinto,PB,Mamanguape - Rio Tinto,João Pessoa,-6.774857,-35.039717,25600
2513000,Salgadinho,PB,Patos,Patos,-7.100420,-36.841660,3434
2513109,Salgado de São Félix,PB,Itabaiana,João Pessoa,-7.407520,-35.460047,11723
2513158,Santa Cecília,PB,Campina Grande,Campina Grande,-7.738775,-35.906592,8191
2513208,Santa Cruz,PB,Sousa,Sousa - Cajazeiras,-6.560307,-38.058743,5985
2513307,Santa Helena,PB,Cajazeiras,Sousa - Cajazeiras,-6.725867,-38.588133,6025
2513356,Santa Inês,PB,Itaporanga,Patos,-7.653200,-38.584307,3240
2513406,Santa Luzia,PB,Patos,Patos,-6.919494,-36.915050,15447
2513505,Santana de Mangueira,PB,Itaporanga,Patos,-7.640100,-38.325920,5075
2513604,Santana dos Garrotes,PB,Itaporanga,Patos,-7.389019,-37.956356,6580
2513653,Joca Claudino,PB,Sousa,Sousa - Cajazeiras,-6.480290,-38.489050,2608
2513703,Santa Rita,PB,João Pessoa,João Pessoa,-7.117925,-35.000512,162488
2513802,Santa Teresinha,PB,Patos,Patos,-7.096931,-37.435508,4485
2513851,Santo André,PB,Campina Grande,Campina Grande,-7.230200,-36.624600,2714
2513901,São Bento,PB,Catolé do Rocha - São Bento,Patos,-6.475431,-37.480223,33982
